id,fname,lname,hand,dob,country,height
200001,Martina,Hingis,R,9/30/1980,SUI,170
200002,Mirjana,Lucic,R,3/9/1982,CRO,181
200003,Justine,Henin,R,6/1/1982,BEL,167
200004,Kerry Anne,Guse,R,12/4/1972,AUS,159
200005,Jolene,Watanabe,R,8/31/1968,USA,
200006,Karina,Habsudova,R,8/2/1973,SVK,170
200007,Silvija,Talaja,R,1/14/1978,CRO,173
200008,Alicia,Molik,R,1/27/1981,AUS,182
200009,Tamarine,Tanasugarn,R,5/24/1977,THA,165
200010,Rita,Grande,R,3/23/1975,ITA,177
200011,Katarina,Srebotnik,R,3/12/1981,SLO,180
200012,Jana,Nejedly,R,6/9/1974,CAN,175
200013,Angelica,Gavaldon,R,10/3/1973,MEX,
200014,Tzipi,Obziler,R,4/19/1973,ISR,172
200015,Petra,Mandula,R,1/17/1978,HUN,178
200016,Sandrine,Testud,R,4/3/1972,FRA,176
200017,Arantxa,Sanchez Vicario,R,12/18/1971,ESP,168
200018,Julia,Abe,R,5/21/1976,GER,
200019,Alexandra,Fusai,R,11/22/1973,FRA,176
200020,Lisa,Raymond,R,8/10/1973,USA,165
200021,Alexia,Dechaume Balleret,R,5/3/1970,FRA,
200022,Emmanuelle,Gagliardi,R,7/9/1976,SUI,171
200023,Bryanne,Stewart,R,12/9/1979,AUS,174
200024,Maria,Vento Kabchi,R,5/24/1974,VEN,168
200025,Ludmila,Cervanova,R,10/15/1979,SVK,171
200026,Florencia,Labat,L,6/12/1971,ARG,170
200027,Magui,Serna,L,3/1/1979,ESP,167
200028,Maureen,Drake,R,3/21/1971,CAN,175
200029,Lisa,Mcshea,R,10/29/1974,AUS,174
200030,Miroslava,Vavrinec,R,4/1/1978,SUI,173
200031,Meilen,Tu,R,1/17/1978,USA,163
200032,Barbara,Schett,R,3/10/1976,AUT,176
200033,Serena,Williams,R,9/26/1981,USA,175
200034,Amanda,Grahame,L,3/25/1979,AUS,
200035,Maria,Sanchez Lorenzo,R,11/7/1977,ESP,171
200036,Nicole,Pratt,R,3/5/1973,AUS,163
200037,Sabine,Appelmans,L,4/22/1972,BEL,168
200038,Annabel,Ellwood,R,2/2/1978,AUS,165
200039,Chanda,Rubin,R,2/18/1976,USA,168
200040,Anna,Smashnova,R,7/16/1976,ISR,157
200041,Amy,Frazier,R,9/19/1972,USA,175
200042,Els,Callens,R,8/20/1970,BEL,178
200043,Virginie,Razzano,R,5/12/1983,FRA,173
200044,Denisa,Chladkova,R,2/8/1979,CZE,174
200045,Tara,Snyder,R,5/26/1977,USA,175
200046,Meghann,Shaughnessy,R,4/13/1979,USA,180
200047,Pavlina,Nola,R,7/14/1974,NZL,
200048,Elena,Likhovtseva,R,9/8/1975,RUS,174
200049,Conchita,Martinez,R,4/16/1972,ESP,170
200050,Sandra,Kleinova,R,5/8/1978,CZE,177
200051,Irina,Spirlea,R,3/26/1974,ROU,175
200052,Olga,Barabanschikova,R,11/2/1979,BLR,172
200053,Lubomira,Bacheva,R,3/7/1975,BUL,
200054,Sylvia,Plischke,R,7/20/1977,AUT,177
200055,Mariana,Diaz Oliva,R,3/11/1976,ARG,172
200056,Jelena,Kostanic Tosic,L,7/6/1981,CRO,168
200057,Erika,De Lone,R,10/14/1972,USA,
200058,Anna,Foldenyi Dicker,R,8/22/1974,HUN,165
200059,Ruxandra,Dragomir Ilie,R,10/24/1972,ROU,168
200060,Tathiana,Garbin,R,6/30/1977,ITA,172
200061,Gala,Leon Garcia,L,12/23/1973,ESP,163
200062,Kristina,Brandi,R,3/29/1977,PUR,168
200063,Tatiana,Panova,R,8/13/1976,RUS,154
200064,Amanda,Coetzer,R,10/22/1971,RSA,158
200065,Amelie,Mauresmo,R,7/5/1979,FRA,175
200066,Cristina,Torrens Valero,R,9/12/1974,ESP,171
200067,Patty,Schnyder,L,12/14/1978,SUI,168
200068,Lilia,Osterloh,R,4/7/1978,USA,170
