year,id,name,surface,held
2015,D033,Fed Cup WG PO: CAN vs ROU                                                                           ,Hard,2015-04-18
2014,W-INT-JPN-01A-2014,Osaka                                                                                               ,Hard,2014-10-06
2014,D050,Fed Cup G2 RR: HKG vs VIE                                                                           ,Hard,2014-02-05
2018,W-FC-2018-G2-AO-C-M-OMA-IRI-01,Fed Cup G2 RR: OMA vs IRI                                                                           ,Hard,2018-02-08
2014,D124,Fed Cup G2 PO: CHI vs CRC                                                                           ,Hard,2014-04-12
2014,W-PM-CHN-01A-2014,Beijing                                                                                             ,Hard,2014-09-29
2014,D047,Fed Cup G1 RR: BUL vs TUR                                                                           ,Hard,2014-02-06
2010,D085,Fed Cup G1 PO: LAT vs BIH                                                                           ,Hard,2010-02-06
2011,D137,Fed Cup G2 RRA: DOM vs URU                                                                          ,Hard,2011-05-19
2010,W-PR-GBR-01A-2010,Eastbourne                                                                                          ,Grass,2010-06-14
2010,W-INT-THA-01A-2010,Pattaya                                                                                             ,Hard,2010-02-08
2019,W-FC-2019-G2-AM-A-B-M-BAH-TTO-01,Fed Cup G2 RR: BAH vs TTO                                                                           ,Clay,2019-04-19
2011,D148,Fed Cup G2 PO: GUA vs BAH                                                                           ,Hard,2011-05-21
2018,W-FC-2018-G1-EPA-C-M-CRO-SLO-01,Fed Cup G1 RR: CRO vs SLO                                                                           ,Hard,2018-02-07
2016,O16,Olympics                                                                                            ,Hard,2016-08-08
2012,D022,Fed Cup G1 RRA: AUT vs BUL                                                                          ,Hard,2012-02-03
2017,1075,Wuhan                                                                                               ,Hard,2017-09-25
2016,M035,Washington                                                                                          ,Hard,2016-07-18
2017,W-FC-2017-G1-AM-A-M-PAR-BOL-01,Fed Cup G1 RR: PAR vs BOL                                                                           ,Hard,2017-02-09
2015,D024,Fed Cup G1 PO: BUL vs UKR                                                                           ,Hard,2015-02-07
2019,W-FC-2019-G2-EPA-B-M-ISR-POR-01,Fed Cup G2 RR: ISR vs POR                                                                           ,Hard,2019-02-06
2019,W-FC-2019-G1-EPA-B-A-M-GBR-GRE-01,Fed Cup G1 RR: GBR vs GRE                                                                           ,Hard,2019-02-07
2017,W-FC-2017-G1-AO-REL-THA-PHI-01,Fed Cup G1 REL: THA vs PHI                                                                          ,Hard,2017-02-11
2013,W-PR-GBR-01A-2013,Eastbourne                                                                                          ,Grass,2013-06-17
2013,W-INT-UZB-01A-2013,Tashkent                                                                                            ,Hard,2013-09-09
2018,W-FC-2018-G2-AO-C-M-MAS-IRI-01,Fed Cup G2 RR: MAS vs IRI                                                                           ,Hard,2018-02-07
2010,D127,Fed Cup G3 PO: EGY vs MAR                                                                           ,Clay,2010-04-24
2016,1052,Birmingham                                                                                          ,Grass,2016-06-13
2014,W-PR-USA-04A-2014,New Haven                                                                                           ,Hard,2014-08-18
2017,W-FC-2017-G2-EPA-A-M-NOR-SLO-01,Fed Cup G2 RR: NOR vs SLO                                                                           ,Hard,2017-04-21
2012,D045,Fed Cup G1 RRA: ARG vs BAH                                                                          ,Clay,2012-02-01
2010,D111,Fed Cup G2 RRB: MEX vs PAN                                                                          ,Clay,2010-04-22
2019,580,Australian Open                                                                                     ,Hard,2019-01-14
2011,W-INT-MEX-02A-2011,Monterrey                                                                                           ,Hard,2011-02-28
2010,D093,Fed Cup G1 PO: PAR vs BRA                                                                           ,Clay,2010-02-06
2017,M007,Miami                                                                                               ,Hard,2017-03-20
2011,D134,Fed Cup G2 RRA: GUA vs URU                                                                          ,Hard,2011-05-18
2016,W-FC-2016-G2-AM-PPO-PUR-CHI-01,Fed Cup G2 PPO: PUR vs CHI                                                                          ,Hard,2016-02-06
2014,D101,Fed Cup G1 PO: LUX vs BUL                                                                           ,Hard,2014-02-09
2015,W-INT-JPN-01A-2015,Tokyo                                                                                               ,Hard,2015-09-14
2011,D085,Fed Cup G1 PO: PAR vs MEX                                                                           ,Clay,2011-02-05
2012,D014,Fed Cup WG2 R1: SVK vs FRA                                                                          ,Hard,2012-02-04
2014,D037,Fed Cup G1 RR: UKR vs AUT                                                                           ,Hard,2014-02-08
2016,M024,Cincinnati                                                                                          ,Hard,2016-08-15
2011,D029,Fed Cup G1 RRC: BLR vs AUT                                                                          ,Hard,2011-02-02
2018,580,Australian Open                                                                                     ,Hard,2018-01-15
2018,W-FC-2018-G2-AO-B-M-PHI-SGP-01,Fed Cup G2 RR: PHI vs SGP                                                                           ,Hard,2018-02-08
2013,D002,Fed Cup WG R1: ITA vs USA                                                                           ,Clay,2013-02-09
2018,560,US Open                                                                                             ,Hard,2018-08-27
2017,1051,Stuttgart                                                                                           ,Clay,2017-04-24
2014,D063,Fed Cup G2 RR: NZL vs PAK                                                                           ,Hard,2014-02-04
2012,D054,Fed Cup G1 RRB: BRA vs VEN                                                                          ,Clay,2012-02-01
2016,W-FC-2016-G1-AO-A-M-THA-UZB-01,Fed Cup G1 RR: THA vs UZB                                                                           ,Hard,2016-02-04
2014,D099,Fed Cup G1 PO: CRO vs TUR                                                                           ,Hard,2014-02-09
2019,W-FC-2019-G2-EPA-B-M-ISR-LUX-01,Fed Cup G2 RR: ISR vs LUX                                                                           ,Hard,2019-02-08
2015,W-INT-THA-01A-2015,Pattaya                                                                                             ,Hard,2015-02-09
2014,D102,Fed Cup G1 PO: LAT vs SLO                                                                           ,Hard,2014-02-09
2016,W-FC-2016-WG2-M-ESP-SRB-01,Fed Cup WG2 R1: ESP vs SRB                                                                          ,Hard,2016-02-06
2018,540,Wimbledon                                                                                           ,Grass,2018-07-02
2016,W-FC-2016-G1-EPA-PPO-BEL-GBR-01,Fed Cup G1 PPO: BEL vs GBR                                                                          ,Hard,2016-02-06
2014,W-PR-UAE-01A-2014,Dubai                                                                                               ,Hard,2014-02-17
2017,520,Roland Garros                                                                                       ,Clay,2017-05-29
2014,D089,Fed Cup G3 PO: NAM vs NOR                                                                           ,Hard,2014-02-08
2017,M001,Sydney                                                                                              ,Hard,2017-01-09
2010,D056,Fed Cup G1 RRA: SLO vs NED                                                                          ,Hard,2010-02-04
2010,W-SL-AUS-01A-2010,Australian Open                                                                                     ,Hard,2010-01-18
2012,D051,Fed Cup G1 RRB: BRA vs PAR                                                                          ,Clay,2012-01-31
2014,W-SL-GBR-01A-2014,Wimbledon                                                                                           ,Grass,2014-06-23
2014,D091,Fed Cup G3 PO: GRE vs IRL                                                                           ,Hard,2014-02-08
2014,D065,Fed Cup G3 RR: EST vs NAM                                                                           ,Hard,2014-02-05
2013,D100,Fed Cup G1 PO: HUN vs NED                                                                           ,Hard,2013-02-10
2010,D061,Fed Cup G1 RRB: CRO vs ROU                                                                          ,Hard,2010-02-04
2011,W-SL-GBR-01A-2011,Wimbledon                                                                                           ,Grass,2011-06-20
2019,1005,Rabat                                                                                               ,Clay,2019-04-29
2013,D058,Fed Cup G1 RRD: SLO vs NED                                                                          ,Hard,2013-02-08
2016,0602,New Haven                                                                                           ,Hard,2016-08-22
2012,D078,Fed Cup G2 RRB: PHI vs OMA                                                                          ,Hard,2012-02-01
2016,W-FC-2016-G1-EPA-B-M-GBR-GEO-01,Fed Cup G1 RR: GBR vs GEO                                                                           ,Hard,2016-02-05
2019,W-FC-2019-G2-AM-A-PP3-4-BOL-TTO-01,Fed Cup G2 PM: BOL vs TTO                                                                           ,Clay,2019-04-20
